The Maze Runner,Average Rating: 7.3/10,2017,Action & Adventure,"[""Keanu Reeves""]","[""Basil Iwanyk""]","[""Chad Stahelski""]"
Spy,Average Rating: 5.9/10,2014,Action & Adventure,"[""Dylan O'Brien"", ""Kaya Scodelario"", ""Thomas Brodie-Sangster"", ""Will Poulter"", ""Patricia Clarkson""]",[],"[""Wes Ball""]"
Creed,Average Rating: 7.2/10,2015,Comedy,"[""Melissa McCarthy"", ""Jason Statham"", ""Rose Byrne"", ""Miranda Hart"", ""Bobby Cannavale"", ""Allison Janney"", ""Jude Law""]",[],"[""Paul Feig""]"
Fast Five (Extended Edition),Average Rating: 7.9/10,2015,Drama,"[""Sylvester Stallone"", ""Michael B. Jordan"", ""Tessa Thompson"", ""Phylicia Rashad"", ""Anthony Bellew""]","[""Nicholas Stern"", ""Irwin Winkler"", ""Robert Chartoff"", ""Charles Winkler"", ""William Chartoff"", ""David Winkler"", ""Kevin King-Templeton"", ""Sylvester Stallone""]","[""Ryan Coogler""]"
The Matrix Reloaded,Average Rating: 6.4/10,2011,Action & Adventure,"[""Vin Diesel"", ""Paul Walker"", ""Dwayne Johnson"", ""Jordana Brewster"", ""Tyrese Gibson"", ""Chris \""Ludacris\"" Bridges"", ""Matt Schulze"", ""Sung Kang"", ""Gal Gadot"", ""Tego Calderón"", ""Don Omar"", """", """"]","[""Neal H. Moritz"", ""Vin Diesel"", ""Michael Fottrell""]","[""Justin Lin""]"
Harry Potter and the Order of the Phoenix,Average Rating: 6.8/10,2013,Action & Adventure,"[""Keanu Reeves"", ""Laurence Fishburne"", ""Carrie-Anne Moss"", ""Hugo Weaving"", ""Jada Pinkett Smith"", ""Nona Gaye"", ""Daniel Bernhardt"", ""Matt McColm"", ""Harold Perrineau"", ""Harry Lennix"", ""Monica Bellucci""]","[""Joel Silver""]","[""Andy Wachowski"", ""Larry Wachowski""]"
Harry Potter and the Goblet of Fire,Average Rating: 6.9/10,2007,Kids & Family,"[""Daniel Radcliffe"", ""Emma Watson"", ""Rupert Grint"", ""Gary Oldman"", ""Jason Isaacs"", ""Helena Bonham Carter"", ""Michael Gambon"", ""Imelda Staunton"", ""Ralph Fiennes""]","[""David Barron"", ""David Heyman""]","[""David Yates""]"
Hacksaw Ridge,Average Rating: 7.5/10,2005,Kids & Family,"[""Daniel Radcliffe"", ""Rupert Grint"", ""Emma Watson"", ""Robbie Coltrane"", ""Ralph Fiennes"", ""Michael Gambon"", ""Brendan Gleeson"", ""Jason Isaacs"", ""Gary Oldman"", ""Alan Rickman"", ""Maggie Smith"", ""Timothy Spall"", """"]","[""David Heyman""]","[""Mike Newell""]"
Kong: Skull Island,Average Rating: 7.2/10,2016,Action & Adventure,"[""Andrew Garfield"", ""Sam Worthington"", ""Luke Bracey"", ""Teresa Palmer"", ""Hugo Weaving"", ""Rachel Griffiths"", ""Vince Vaughn""]","[""Bill Mechanic, p.g.a."", ""David Permut p.g.a."", ""Terry Benedict"", ""Paul Currie"", ""Bruce Davey"", ""Brian Oliver""]","[""Mel Gibson""]"
Captain America: Civil War,Average Rating: 6.5/10,2017,Action & Adventure,"[""Tom Hiddleston"", ""Samuel L. Jackson"", ""John Goodman"", ""Brie Larson"", ""Jing Tian"", ""Toby Kebbell"", ""Jason Mitchell""]","[""Tom Peitzman"", ""Thomas Tull"", ""Mary Parent"", ""Jon Jashni"", ""Alex Garcia""]","[""Jordan Vogt-Roberts""]"
The Hurt Locker,Average Rating: 7.6/10,2016,Action & Adventure,"[""Chris Evans"", ""Robert Downey Jr."", ""Scarlett Johansson"", ""Sebastian Stan"", ""Anthony Mackie"", ""Don Cheadle"", ""Jeremy Renner"", ""Chadwick Boseman"", ""Paul Bettany"", ""Elizabeth Olsen"", ""Paul Rudd"", ""Emily VanCamp"", """", """", """", """", """", """", """", """"]","[""Kevin Feige""]","[""Anthony Russo"", ""Joe Russo""]"
X-Men: Days of Future Past,Average Rating: 8.5/10,2009,Thriller,"[""Jeremy Renner"", ""Anthony Mackie"", ""Brian Geraghty"", ""Guy Pearce"", ""Ralph Fiennes"", ""David Morse""]","[""Nicolas Chartier"", ""Mark Boal""]","[""Kathryn Bigelow""]"
