Harry Potter and the Order of the Phoenix,Average Rating: 6.2/10,2016,Kids & Family,"[""Louis C.K."", ""Eric Stonestreet"", ""Kevin Hart"", ""Jenny Slate"", ""Ellie Kemper"", ""Lake Bell"", ""Dana Carvey"", ""Hannibal Buress"", ""Bobby Moynihan"", ""Steve Coogan"", ""Albert Brooks""]","[""Chris Meledandri"", ""Janet Healy""]","[""Chris Renaud""]"
The Monuments Men,Average Rating: 6.9/10,2007,Kids & Family,"[""Daniel Radcliffe"", ""Emma Watson"", ""Rupert Grint"", ""Gary Oldman"", ""Jason Isaacs"", ""Helena Bonham Carter"", ""Michael Gambon"", ""Imelda Staunton"", ""Ralph Fiennes""]","[""David Barron"", ""David Heyman""]","[""David Yates""]"
Creed,Average Rating: 5.2/10,2014,Action & Adventure,"[""George Clooney"", ""Matt Damon"", ""Bill Murray"", ""Cate Blanchett"", ""John Goodman"", ""Jean Dujardin"", ""Hugh Bonneville"", ""Bob Balaban"", ""Dimitri Leonidas""]","[""George Clooney"", ""Grant Heslov""]","[""George Clooney""]"
The Matrix Reloaded,Average Rating: 7.9/10,2015,Drama,"[""Sylvester Stallone"", ""Michael B. Jordan"", ""Tessa Thompson"", ""Phylicia Rashad"", ""Anthony Bellew""]","[""Nicholas Stern"", ""Irwin Winkler"", ""Robert Chartoff"", ""Charles Winkler"", ""William Chartoff"", ""David Winkler"", ""Kevin King-Templeton"", ""Sylvester Stallone""]","[""Ryan Coogler""]"
Star Trek Beyond,Average Rating: 6.8/10,2013,Action & Adventure,"[""Keanu Reeves"", ""Laurence Fishburne"", ""Carrie-Anne Moss"", ""Hugo Weaving"", ""Jada Pinkett Smith"", ""Nona Gaye"", ""Daniel Bernhardt"", ""Matt McColm"", ""Harold Perrineau"", ""Harry Lennix"", ""Monica Bellucci""]","[""Joel Silver""]","[""Andy Wachowski"", ""Larry Wachowski""]"
War for the Planet of the Apes,Average Rating: 6.9/10,2016,Sci-Fi & Fantasy,"[""John Cho"", ""Simon Pegg"", ""Chris Pine"", ""Zachary Quinto"", ""Zoe Saldana"", ""Karl Urban"", ""Anton Yelchin"", ""Idris Elba""]","[""Justin Lin"", ""J.J. Abrams"", ""Roberto Orci"", ""Lindsey Weber""]","[""Justin Lin""]"
Harry Potter and the Prisoner of Azkaban,Average Rating: 8.1/10,2017,Action & Adventure,"[""Andy Serkis"", ""Woody Harrelson"", ""Steve Zahn""]","[""Peter Chernin"", ""Dylan Clark"", ""Rick Jaffa"", ""Amanda Silver""]","[""Matt Reeves""]"
Star Trek Into Darkness,Average Rating: 7.9/10,2004,Kids & Family,"[""Daniel Radcliffe"", ""Rupert Grint"", ""Emma Watson"", ""Robbie Coltrane"", ""Michael Gambon"", ""Richard Griffiths"", ""Gary Oldman"", ""Alan Rickman"", ""Fiona Shaw"", ""Maggie Smith"", ""Timothy Spall"", ""David Thewlis"", """", """"]","[""David Heyman"", ""Chris Columbus"", ""Mark Radcliffe""]","[""Alfonso Cuarón""]"
Captain America: Civil War,Average Rating: 7.5/10,2013,Sci-Fi & Fantasy,"[""John Cho"", ""Benedict Cumberbatch"", ""Alice Eve"", ""Bruce Greenwood"", ""Simon Pegg"", ""Chris Pine"", ""Zachary Quinto"", ""Zoe Saldana"", ""Karl Urban"", ""Peter Weller"", ""Anton Yelchin""]","[""J.J. Abrams"", ""Bryan Burk"", ""Damon Lindelof"", ""Alex Kurtzman"", ""Roberto Orci""]","[""J.J. Abrams""]"
The Hurt Locker,Average Rating: 7.6/10,2016,Action & Adventure,"[""Chris Evans"", ""Robert Downey Jr."", ""Scarlett Johansson"", ""Sebastian Stan"", ""Anthony Mackie"", ""Don Cheadle"", ""Jeremy Renner"", ""Chadwick Boseman"", ""Paul Bettany"", ""Elizabeth Olsen"", ""Paul Rudd"", ""Emily VanCamp"", """", """", """", """", """", """", """", """"]","[""Kevin Feige""]","[""Anthony Russo"", ""Joe Russo""]"
Hacksaw Ridge,Average Rating: 8.5/10,2009,Thriller,"[""Jeremy Renner"", ""Anthony Mackie"", ""Brian Geraghty"", ""Guy Pearce"", ""Ralph Fiennes"", ""David Morse""]","[""Nicolas Chartier"", ""Mark Boal""]","[""Kathryn Bigelow""]"
Sicario,Average Rating: 7.2/10,2016,Action & Adventure,"[""Andrew Garfield"", ""Sam Worthington"", ""Luke Bracey"", ""Teresa Palmer"", ""Hugo Weaving"", ""Rachel Griffiths"", ""Vince Vaughn""]","[""Bill Mechanic, p.g.a."", ""David Permut p.g.a."", ""Terry Benedict"", ""Paul Currie"", ""Bruce Davey"", ""Brian Oliver""]","[""Mel Gibson""]"
Rise of the Planet of the Apes,Average Rating: 8.0/10,2015,Thriller,"[""Emily Blunt"", ""Benicio Del Toro"", ""Josh Brolin"", ""Victor Garber"", ""Jon Bernthal""]","[""Basil Iwanyk""]","[""Denis Villeneuve""]"
Minions,Average Rating: 7.1/10,2011,Action & Adventure,"[""James Franco"", ""Freida Pinto"", ""John Lithgow"", ""Brian Cox"", ""Tom Felton"", ""Andy Serkis""]",[],"[""Rupert Wyatt""]"
Quantum of Solace,Average Rating: 5.8/10,2015,Kids & Family,"[""Sandra Bullock"", ""Jon Hamm"", ""Michael Keaton"", ""Allison Janney"", ""Steve Coogan"", ""Jennifer Saunders"", ""Geoffrey Rush""]","[""Chris Meledandri"", ""Janet Healy""]","[""Pierre Coffin"", ""Kyle Balda""]"
Thor: The Dark World,Average Rating: 6.2/10,2008,Action & Adventure,"[""Daniel Craig"", ""Olga Kurylenko"", ""Mathieu Amalric"", ""Judi Dench"", ""Giancarlo Giannini"", ""Gemma Arterton"", ""Jeffrey Wright""]","[""Barbara Broccoli"", ""Michael G. Wilson""]","[""Marc Forster""]"
Mission: Impossible - Ghost Protocol,Average Rating: 6.2/10,2013,Action & Adventure,"[""Chris Hemsworth"", ""Natalie Portman"", ""Tom Hiddleston"", ""Anthony Hopkins"", ""Rene Russo"", ""Stellan Skarsgård"", ""Idris Elba"", ""Christopher Eccleston"", ""Adewale Akinnuoye-Agbaje"", ""Kat Dennings"", """", """", """", """", """", """"]","[""Kevin Feige""]","[""Alan Taylor""]"
The Magnificent Seven (2016),Average Rating: 7.7/10,2011,Action & Adventure,"[""Josh Holloway"", ""Paula Patton"", ""Tom Cruise"", ""Léa Seydoux"", ""Simon Pegg"", ""Jeremy Renner"", ""Anil Kapoor"", ""Michael Nyqvist"", ""Vladimir Mashkov""]","[""Bryan Burk"", ""J.J. Abrams""]","[""Brad Bird""]"
Jack Reacher,Average Rating: 6.0/10,2016,Western,"[""Haley Bennett"", ""Vincent D'Onofrio"", ""Ethan Hawke"", ""Chris Pratt"", ""Peter Sarsgaard"", ""Denzel Washington"", ""Manuel Garcia-Rulfo"", ""Luke Grimes"", ""Byung-Hun Lee"", ""Martin Sensmeier""]","[""Roger Birnbaum"", ""Todd Black""]","[""Antoine Fuqua""]"
John Wick: Chapter 2,Average Rating: 6.2/10,2012,Action & Adventure,"[""Tom Cruise"", ""Rosamund Pike"", ""Richard Jenkins"", ""Werner Herzog"", ""David Oyelowo"", ""Jai Courtney"", ""Joseph Sikora"", ""Robert Duvall""]","[""Tom Cruise"", ""Don Granger"", ""Paula Wagner"", ""Gary Levinsohn"", ""Jack Myers"", ""Ken Kamins"", ""Kevin Messick"", ""David Ellison""]","[""Christopher McQuarrie""]"
Lone Survivor,Average Rating: 7.3/10,2017,Action & Adventure,"[""Keanu Reeves""]","[""Basil Iwanyk""]","[""Chad Stahelski""]"
Percy Jackson & the Olympians: The Lightning Thief,Average Rating: 6.6/10,2013,Action & Adventure,"[""Mark Wahlberg"", ""Taylor Kitsch"", ""Emile Hirsch"", ""Ben Foster"", ""Eric Bana""]","[""Mark Wahlberg"", ""Peter Berg"", ""Sarah Aubrey"", ""Randall Emmett"", ""Norton Herrick"", ""Barry Spikings"", ""Akiva Goldsman"", ""Stephen Levinson"", ""Vitaly Grigoriants""]","[""Peter Berg""]"
13 Hours: The Secret Soldiers of Benghazi,Average Rating: 5.3/10,2010,Kids & Family,"[""Logan Lerman"", ""Brandon T. Jackson"", ""Alexandra Daddario"", ""Sean Bean"", ""Pierce Brosnan"", ""Steve Coogan"", ""Rosario Dawson"", ""Catherine Keener"", ""Kevin McKidd"", ""Joe Pantoliano"", ""Uma Thurman""]",[],"[""Chris Columbus""]"
Fantastic Beasts and Where to Find Them,Average Rating: 5.5/10,2016,Action & Adventure,"[""James Badge Dale"", ""John Krasinski"", ""Max Martini""]","[""Erwin Stoff"", ""Michael Bay"", ""Scott Gardenhour"", ""Richard Abate"", ""Matthew Cohan""]","[""Michael Bay""]"
Star Wars: A New Hope,Average Rating: 6.8/10,2017,Action & Adventure,"[""Eddie Redmayne"", ""Katherine Waterston"", ""Dan Fogler"", ""Alison Sudol"", ""Ezra Miller"", ""Samantha Morton"", ""Jon Voight"", ""Carmen Ejogo"", ""Colin Farrell""]","[""David Heyman"", ""J.K. Rowling"", ""Steve Kloves"", ""Lionel Wigram""]","[""David Yates""]"
Wind River (2017),Average Rating: 8.6/10,1977,Action & Adventure,"[""Mark Hamill"", ""Harrison Ford"", ""Carrie Fisher"", ""Peter Cushing"", ""Alec Guinness"", ""Anthony Daniels"", ""Kenny Baker"", ""Peter Mayhew"", ""David Prowse"", ""James Earl Jones"", ""Jack Purvis"", ""Eddie Byrne""]","[""Gary Kurtz""]","[""George Lucas""]"
