Series Title,Genre,Season Number,Episode Number,Episode Title,Release_Year,Episode link
"Castle, Season 2",Drama,Season 2,24,A Deadly Game,2009,https://itunes.apple.com/us/tv-season/a-deadly-game/id329362510?i=373244584
"Prison Break, Season 1",Drama,Season 1,1,Pilot,2006,https://itunes.apple.com/us/tv-season/pilot/id151789329?i=151960493
"Prison Break, Season 1",Drama,Season 1,2,Allen,2006,https://itunes.apple.com/us/tv-season/allen/id151789329?i=151960318
"Prison Break, Season 1",Drama,Season 1,3,Cell Test,2006,https://itunes.apple.com/us/tv-season/cell-test/id151789329?i=151960322
"Prison Break, Season 1",Drama,Season 1,4,Cute Poison,2006,https://itunes.apple.com/us/tv-season/cute-poison/id151789329?i=151960327
"Prison Break, Season 1",Drama,Season 1,5,"English, Fitz or Percy",2006,https://itunes.apple.com/us/tv-season/english-fitz-or-percy/id151789329?i=151960330
"Prison Break, Season 1",Drama,Season 1,6,"Riots, Drills and the Devil",2006,https://itunes.apple.com/us/tv-season/riots-drills-and-the-devil/id151789329?i=151960335
"Prison Break, Season 1",Drama,Season 1,7,"Riots, Drills and the Devil, Pt. 2",2006,https://itunes.apple.com/us/tv-season/riots-drills-and-the-devil-pt-2/id151789329?i=151960337
"Prison Break, Season 1",Drama,Season 1,8,The Old Head,2006,https://itunes.apple.com/us/tv-season/the-old-head/id151789329?i=151960340
"Prison Break, Season 1",Drama,Season 1,9,Tweener,2006,https://itunes.apple.com/us/tv-season/tweener/id151789329?i=151960388
"Prison Break, Season 1",Drama,Season 1,10,Sleight of Hand,2006,https://itunes.apple.com/us/tv-season/sleight-of-hand/id151789329?i=151960392
"Prison Break, Season 1",Drama,Season 1,11,And Then There Were 7,2006,https://itunes.apple.com/us/tv-season/and-then-there-were-7/id151789329?i=151960395
"Prison Break, Season 1",Drama,Season 1,12,Odd Man Out,2006,https://itunes.apple.com/us/tv-season/odd-man-out/id151789329?i=151960397
"Prison Break, Season 1",Drama,Season 1,13,End of the Tunnel,2006,https://itunes.apple.com/us/tv-season/end-of-the-tunnel/id151789329?i=151960404
"Prison Break, Season 1",Drama,Season 1,14,The Rat,2006,https://itunes.apple.com/us/tv-season/the-rat/id151789329?i=151960469
"Prison Break, Season 1",Drama,Season 1,15,By the Skin and the Teeth,2006,https://itunes.apple.com/us/tv-season/by-the-skin-and-the-teeth/id151789329?i=151960471
"Prison Break, Season 1",Drama,Season 1,16,Brother's Keeper,2006,https://itunes.apple.com/us/tv-season/brothers-keeper/id151789329?i=151960474
"Prison Break, Season 1",Drama,Season 1,17,J-Cat,2006,https://itunes.apple.com/us/tv-season/j-cat/id151789329?i=151960477
"Prison Break, Season 1",Drama,Season 1,18,Bluff,2006,https://itunes.apple.com/us/tv-season/bluff/id151789329?i=151960481
"Prison Break, Season 1",Drama,Season 1,19,The Key,2006,https://itunes.apple.com/us/tv-season/the-key/id151789329?i=151960483
"Prison Break, Season 1",Drama,Season 1,20,Tonight,2006,https://itunes.apple.com/us/tv-season/tonight/id151789329?i=151960485
