Movie Title,Release Year,Genre,Actors,Producers,Directors
Jack Reacher,2013,Action & Adventure,"[""Tom Hanks"", ""Barkhad Abdi"", ""Barkhad Abdirahman"", ""Faysal Ahmed"", ""Mahat M. Ali"", ""Michael Chernus"", ""Corey Johnson"", ""Max Martini"", ""Chris Mulkey"", ""Yul Vazquez"", ""David Warshofsky"", """", """", """", """"]","[""Scott Rudin"", ""Dana Brunetti"", ""Michael De Luca""]","[""Paul Greengrass""]"
The Hunger Games: Catching Fire,2012,Action & Adventure,"[""Tom Cruise"", ""Rosamund Pike"", ""Richard Jenkins"", ""Werner Herzog"", ""David Oyelowo"", ""Jai Courtney"", ""Joseph Sikora"", ""Robert Duvall""]","[""Tom Cruise"", ""Don Granger"", ""Paula Wagner"", ""Gary Levinsohn"", ""Jack Myers"", ""Ken Kamins"", ""Kevin Messick"", ""David Ellison""]","[""Christopher McQuarrie""]"
The Revenant,2013,Action & Adventure,"[""Jennifer Lawrence"", ""Josh Hutcherson"", ""Liam Hemsworth"", ""Woody Harrelson"", ""Elizabeth Banks"", ""Lenny Kravitz"", ""Philip Seymour Hoffman"", ""Jeffrey Wright"", ""Stanley Tucci"", ""Donald Sutherland"", ""Jena Malone"", """", """", """"]","[""Nina Jacobson"", ""Jon Kilik""]","[""Francis Lawrence""]"
Man of Steel (2013),2015,Drama,"[""Leonardo DiCaprio"", ""Tom Hardy"", ""Domhnall Gleeson"", ""Will Poulter""]",[],"[""Alejandro González Iñárritu""]"
Star Trek Beyond,2013,Action & Adventure,"[""Henry Cavill"", ""Amy Adams"", ""Michael Shannon"", ""Kevin Costner"", ""Diane Lane"", ""Laurence Fishburne"", ""Antje Traue"", ""Ayelet Zurer"", ""Christopher Meloni"", ""Russell Crowe""]","[""Charles Roven"", ""Christopher Nolan"", ""Emma Thomas"", ""Deborah Snyder""]","[""Zack Snyder""]"
Divergent,2016,Sci-Fi & Fantasy,"[""John Cho"", ""Simon Pegg"", ""Chris Pine"", ""Zachary Quinto"", ""Zoe Saldana"", ""Karl Urban"", ""Anton Yelchin"", ""Idris Elba""]","[""J.J. Abrams"", ""Roberto Orci"", ""Lindsey Weber"", ""Justin Lin""]","[""Justin Lin""]"
Live Die Repeat: Edge of Tomorrow,2014,Action & Adventure,"[""Shailene Woodley"", ""Theo James"", ""Miles Teller"", ""Maggie Q"", ""Ashley Judd"", ""Mekhi Phifer""]","[""Evan Daugherty"", ""Douglas Wick""]","[""Neil Burger""]"
Lucy,2014,Action & Adventure,"[""Tom Cruise"", ""Emily Blunt"", ""Bill Paxton"", ""Brendan Gleeson"", ""Kick Gurry"", ""Dragomir Mrsic"", ""Charlotte Riley"", ""Jonas Armstrong"", ""Franz Drameh""]","[""Erwin Stoff"", ""Tom Lassally"", ""Jeffrey Silver"", ""Gregory Jacobs"", ""Jason Hoffs""]","[""Doug Liman""]"
Harry Potter and the Half-Blood Prince,2014,Action & Adventure,"[""Scarlett Johansson"", ""Morgan Freeman"", ""Choi Min-sik"", ""Amr Waked""]","[""Virginie Besson-Silla""]","[""Luc Besson""]"
The Maze Runner,2009,Kids & Family,"[""Daniel Radcliffe"", ""Rupert Grint"", ""Emma Watson"", ""Jim Broadbent"", ""Helena Bonham Carter"", ""Robbie Coltrane"", ""Warwick Davis"", ""Michael Gambon"", ""Alan Rickman"", ""Maggie Smith"", ""Timothy Spall"", """", """", """", """", """", """", """", """"]","[""David Heyman"", ""David Barron""]","[""David Yates""]"
John Wick: Chapter 2,2014,Action & Adventure,"[""Dylan O'Brien"", ""Kaya Scodelario"", ""Thomas Brodie-Sangster"", ""Will Poulter"", ""Patricia Clarkson""]",[],"[""Wes Ball""]"
Kong: Skull Island,2017,Action & Adventure,"[""Keanu Reeves""]","[""Basil Iwanyk""]","[""Chad Stahelski""]"
Creed,2017,Action & Adventure,"[""Tom Hiddleston"", ""Samuel L. Jackson"", ""John Goodman"", ""Brie Larson"", ""Jing Tian"", ""Toby Kebbell"", ""Jason Mitchell""]","[""Tom Peitzman"", ""Thomas Tull"", ""Mary Parent"", ""Jon Jashni"", ""Alex Garcia""]","[""Jordan Vogt-Roberts""]"
Spy,2015,Drama,"[""Sylvester Stallone"", ""Michael B. Jordan"", ""Tessa Thompson"", ""Phylicia Rashad"", ""Anthony Bellew""]","[""Nicholas Stern"", ""Irwin Winkler"", ""Robert Chartoff"", ""Charles Winkler"", ""William Chartoff"", ""David Winkler"", ""Kevin King-Templeton"", ""Sylvester Stallone""]","[""Ryan Coogler""]"
The Matrix Reloaded,2015,Comedy,"[""Melissa McCarthy"", ""Jason Statham"", ""Rose Byrne"", ""Miranda Hart"", ""Bobby Cannavale"", ""Allison Janney"", ""Jude Law""]",[],"[""Paul Feig""]"
Harry Potter and the Goblet of Fire,2013,Action & Adventure,"[""Keanu Reeves"", ""Laurence Fishburne"", ""Carrie-Anne Moss"", ""Hugo Weaving"", ""Jada Pinkett Smith"", ""Nona Gaye"", ""Daniel Bernhardt"", ""Matt McColm"", ""Harold Perrineau"", ""Harry Lennix"", ""Monica Bellucci""]","[""Joel Silver""]","[""Andy Wachowski"", ""Larry Wachowski""]"
Harry Potter and the Order of the Phoenix,2005,Kids & Family,"[""Daniel Radcliffe"", ""Rupert Grint"", ""Emma Watson"", ""Robbie Coltrane"", ""Ralph Fiennes"", ""Michael Gambon"", ""Brendan Gleeson"", ""Jason Isaacs"", ""Gary Oldman"", ""Alan Rickman"", ""Maggie Smith"", ""Timothy Spall"", """"]","[""David Heyman""]","[""Mike Newell""]"
Hacksaw Ridge,2007,Kids & Family,"[""Daniel Radcliffe"", ""Emma Watson"", ""Rupert Grint"", ""Gary Oldman"", ""Jason Isaacs"", ""Helena Bonham Carter"", ""Michael Gambon"", ""Imelda Staunton"", ""Ralph Fiennes""]","[""David Barron"", ""David Heyman""]","[""David Yates""]"
Captain America: Civil War,2016,Action & Adventure,"[""Andrew Garfield"", ""Sam Worthington"", ""Luke Bracey"", ""Teresa Palmer"", ""Hugo Weaving"", ""Rachel Griffiths"", ""Vince Vaughn""]","[""Bill Mechanic, p.g.a."", ""David Permut p.g.a."", ""Terry Benedict"", ""Paul Currie"", ""Bruce Davey"", ""Brian Oliver""]","[""Mel Gibson""]"
